date,nav
2016-06-08,29.8544
2016-06-07,29.7297
2016-06-06,29.6237
2016-06-03,29.5909
2016-06-02,29.5431
2016-06-01,29.505
2016-05-31,29.5038
2016-05-30,29.4639
2016-05-27,29.3547
2016-05-26,29.14
2016-05-25,28.8767
2016-05-24,28.5069
2016-05-23,28.5471
2016-05-20,28.623
2016-05-19,28.8096
2016-05-18,29.1469
2016-05-17,29.1732
2016-05-16,29.0495
2016-05-13,28.993
2016-05-12,29.1104
2016-05-11,28.8236
2016-05-10,28.7696
2016-05-09,28.795
2016-05-06,28.6031
2016-05-05,28.7676
2016-05-04,28.7343
2016-05-03,28.8983
2016-05-02,28.9739
2016-04-29,28.9382
2016-04-28,28.9182
2016-04-27,29.3049
2016-04-26,29.1736
2016-04-25,28.9756
2016-04-22,29.2463
2016-04-21,29.2603
2016-04-20,29.419
2016-04-18,29.3465
2016-04-13,29.1269
2016-04-12,28.7278
2016-04-11,28.4364
2016-04-08,28.1753
2016-04-07,28.0539
2016-04-06,28.2035
2016-04-05,28.1922
2016-04-04,28.6176
2016-04-01,28.4005
2016-03-31,28.4611
2016-03-30,28.2387
2016-03-29,27.8613
2016-03-28,27.7917
2016-03-23,28.1082
2016-03-22,28.2153
2016-03-21,27.9245
2016-03-18,27.5271
2016-03-17,27.2387
2016-03-16,27.0241
2016-03-15,27.0087
2016-03-14,27.1438
2016-03-11,26.9926
2016-03-10,26.94
2016-03-09,27.0805
2016-03-08,26.8854
2016-03-04,26.7367
2016-03-03,26.7123
2016-03-02,26.3696
2016-03-01,25.9387
2016-02-29,25.2807
2016-02-26,25.2673
2016-02-25,25.2685
2016-02-24,25.3887
2016-02-23,25.8076
2016-02-22,26.1346
2016-02-19,26.1234
2016-02-18,26.0272
2016-02-17,25.761
2016-02-16,25.473
2016-02-15,25.8903
2016-02-12,25.2199
2016-02-11,25.3841
2016-02-10,26.2813
2016-02-09,26.628
2016-02-08,26.9682
2016-02-05,27.1151
2016-02-04,26.839
2016-02-03,26.9178
2016-02-02,27.3279
2016-02-01,27.7139
2016-01-29,27.6511
2016-01-28,27.3247
2016-01-27,27.4182
2016-01-25,27.1087
2016-01-22,26.9548
2016-01-21,26.3206
2016-01-20,26.4078
2016-01-19,26.9046
2016-01-18,26.4592
2016-01-15,27.0386
2016-01-14,27.7942
2016-01-13,28.2403
2016-01-12,28.659
2016-01-11,28.6729
2016-01-08,28.9665
2016-01-07,28.6959
2016-01-06,29.2633
2016-01-05,29.398
2016-01-04,29.2213
2016-01-01,29.6417
2015-12-31,29.4701
2015-12-30,29.3704
2015-12-29,29.2395
2015-12-28,29.0935
2015-12-24,28.9756
2015-12-23,29.0068
2015-12-22,28.937
2015-12-21,29.1354
2015-12-18,28.8103
2015-12-17,28.8332
2015-12-16,28.3991
2015-12-15,28.2231
2015-12-14,27.9369
2015-12-11,27.8347
2015-12-10,28.0492
2015-12-09,27.6724
2015-12-08,28.2471
2015-12-07,28.447
2015-12-04,28.3323
2015-12-03,28.5601
2015-12-02,28.8192
2015-12-01,28.9836
2015-11-30,28.8515
2015-11-27,28.8262
2015-11-26,28.7995
2015-11-24,28.6004
2015-11-23,28.6135
2015-11-20,28.4422
2015-11-19,28.2518
2015-11-18,27.9535
2015-11-17,28.0778
2015-11-16,28.0589
2015-11-13,27.996
2015-11-10,28.0231
2015-11-09,28.1619
2015-11-06,28.0517
2015-11-05,28.2165
2015-11-04,28.48
2015-11-03,28.5902
2015-11-02,28.4995
2015-10-30,28.5088
2015-10-29,28.7545
2015-10-28,28.8439
2015-10-27,28.9219
2015-10-26,28.7996
2015-10-23,28.8607
2015-10-21,28.7475
2015-10-20,28.5855
2015-10-19,28.6713
2015-10-16,28.5647
2015-10-15,28.4827
2015-10-14,28.3935
2015-10-13,28.3823
2015-10-12,28.2854
2015-10-09,28.1757
2015-10-08,28.1018
2015-10-07,28.2191
2015-10-06,28.2147
2015-10-05,28.2308
2015-10-01,27.804
2015-09-30,27.7213
2015-09-29,27.3533
2015-09-28,27.3663
2015-09-24,27.6817
2015-09-23,27.512
2015-09-22,27.4388
2015-09-21,27.8771
2015-09-18,27.7323
2015-09-16,27.6106
2015-09-15,27.5543
2015-09-14,27.6866
2015-09-11,27.4676
2015-09-10,27.4166
2015-09-09,27.7072
2015-09-08,27.2431
2015-09-07,26.9831
2015-09-04,27.548
2015-09-03,28.0761
2015-09-02,27.8012
2015-09-01,28.0647
2015-08-31,28.6433
2015-08-28,28.7291
2015-08-27,28.7705
2015-08-26,28.18
2015-08-25,28.2451
2015-08-24,27.8676
2015-08-21,29.5951
2015-08-20,29.9093
2015-08-19,30.347
2015-08-18,30.2707
2015-08-17,30.1288
2015-08-14,30.1699
2015-08-13,29.6859
2015-08-12,29.7952
2015-08-11,30.3946
2015-08-10,30.7262
2015-08-07,30.7579
2015-08-06,30.9337
2015-08-05,31.0455
2015-08-04,30.909
2015-08-03,30.7933
2015-07-31,30.7359
2015-07-30,30.3894
2015-07-29,30.1763
2015-07-28,29.882
2015-07-27,30.0961
2015-07-24,30.6926
2015-07-23,30.9707
2015-07-22,31.0095
2015-07-21,30.7455
2015-07-20,31.0666
2015-07-17,31.0112
2015-07-16,30.8354
2015-07-15,30.4473
2015-07-14,30.2517
2015-07-13,30.1981
2015-07-10,29.7127
2015-07-09,29.6685
2015-07-08,29.7226
2015-07-07,30.2087
2015-07-06,30.0832
2015-07-03,29.9882
2015-07-02,29.9541
2015-07-01,29.7913
2015-06-30,29.3382
2015-06-29,29.1448
2015-06-26,29.5543
2015-06-25,29.4717
2015-06-24,29.4649
2015-06-23,29.6348
2015-06-22,29.5287
2015-06-19,29.1667
2015-06-18,29.0215
2015-06-17,28.816
2015-06-16,28.5366
2015-06-15,28.3354
2015-06-12,28.1872
2015-06-11,28.1829
2015-06-10,28.6723
2015-06-09,28.2642
2015-06-08,28.3234
2015-06-05,28.7322
2015-06-04,28.8064
2015-06-03,28.6158
2015-06-02,28.8912
2015-06-01,29.5047
2015-05-29,29.5576
2015-05-28,29.1435
2015-05-27,29.0794
2015-05-26,29.0855
2015-05-25,29.201
2015-05-22,29.3293
2015-05-21,29.3298
2015-05-20,29.2948
2015-05-19,29.2296
2015-05-18,29.3478
2015-05-15,29.0693
2015-05-14,28.9325
2015-05-13,28.7324
2015-05-12,28.2254
2015-05-11,28.7585
2015-05-08,28.3136
2015-05-07,27.8979
2015-05-06,28.2555
2015-05-05,29.1084
2015-05-04,29.1338
2015-04-30,28.699
2015-04-29,28.7141
2015-04-28,28.6035
2015-04-27,28.3669
2015-04-24,28.6357
2015-04-23,29.1098
2015-04-22,29.162
2015-04-21,29.2135
2015-04-20,29.341
